,2023,2022,2021,2020,2019,2018,2017
Total Revenue,380000000000.0,360000000000.0,340000000000.0,320000000000.0,300000000000.0,280000000000.0,260000000000.0
Cost Of Revenue,200000000000.0,190000000000.0,180000000000.0,170000000000.0,160000000000.0,150000000000.0,140000000000.0
Operating Income,120000000000.0,110000000000.0,100000000000.0,90000000000.0,80000000000.0,70000000000.0,60000000000.0
Interest Expense,5000000000.0,4000000000.0,3000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0
Income Before Tax,115000000000.0,106000000000.0,97000000000.0,88000000000.0,78000000000.0,68000000000.0,58000000000.0
Income Tax Expense,25000000000.0,23000000000.0,20000000000.0,18000000000.0,16000000000.0,14000000000.0,12000000000.0
Net Income,90000000000.0,83000000000.0,77000000000.0,70000000000.0,62000000000.0,54000000000.0,46000000000.0
Depreciation And Amortization,12000000000.0,11000000000.0,10000000000.0,9000000000.0,8000000000.0,7000000000.0,6000000000.0
Research Development,30000000000.0,28000000000.0,25000000000.0,22000000000.0,20000000000.0,18000000000.0,16000000000.0
Selling General Administrative,60000000000.0,55000000000.0,50000000000.0,45000000000.0,40000000000.0,35000000000.0,30000000000.0
